id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
36769756,4BR 2BA Bright Spacious Home in Cambridge,250597522,Cynthia,,North Cambridge,42.39214,-71.13249,Entire home/apt,345,30,6,2020-03-01,1.22,1,83
36795461,"Modern Cambridge 2BR: Harvard,MIT,Kendall,Boston",45016784,Yan,,East Cambridge,42.37228,-71.08435,Entire home/apt,130,30,2,2020-04-20,0.69,7,14
36867730,Great location: Harvard Square Delight!,92925188,Genie,,Mid-Cambridge,42.37308,-71.11234,Entire home/apt,80,91,1,2019-08-30,0.11,2,176
36978412,Harvard Sq Family Treehouse,109652059,Joy,,Mid-Cambridge,42.37154,-71.11395,Private room,150,1,21,2019-11-17,2.07,1,0
37010665,Harvard Studio-Parking-Laundry-Kitchen-Cable-Queen,14438532,Ana & Ryan,,Neighborhood Nine,42.38263,-71.12171,Entire home/apt,20,4,16,2020-03-12,1.68,1,0
37055357,Lovely Quiet Apartment in Heart of Harvard Square,7578799,Gary,,West Cambridge,42.37571,-71.1215,Entire home/apt,195,1,6,2019-08-23,0.61,1,0
37142306,Spacious Harvard Square 2BR w/ W/D near Redline by Blueground,107434423,Blueground,,Mid-Cambridge,42.37025,-71.1085,Entire home/apt,155,32,0,,,36,330
37205053,"Garden-view Apartment, Minutes to Harvard Sq.",17028791,M,,West Cambridge,42.38213,-71.13783,Entire home/apt,100,91,1,2019-12-24,0.19,5,0
37387494,*Harvard 2 bed apt. nearMIT/HLS/Central Sq*parking,281388351,John,,West Cambridge,42.37939,-71.14007,Entire home/apt,350,1,1,2020-03-02,0.35,4,340
37389489,Studio with Private Bath and Kitchen,67730125,Anila,,West Cambridge,42.38088,-71.14,Entire home/apt,115,91,0,,,8,364
37419036,"Nice stay near Harvard, MIT and redline T",19008767,Ellen,,Riverside,42.36611,-71.11355,Private room,97,91,3,2019-10-30,0.31,4,365
37420729,"Comfy stay near Harvard, MIT and redline T",19008767,Ellen,,Cambridgeport,42.36476,-71.10326,Private room,119,91,0,,,4,365
37460222,"Clean, Bright Space near Harvard/MIT",41097805,Jamie Michael,,Mid-Cambridge,42.37319,-71.11577,Private room,55,1,11,2020-02-19,1.29,1,89
